id;név;nemzetiség;születési hely;születési idő
331;Alejandro García Reneses;ESP;Madrid;
332;Bradley Newley;AUS;Adelaida (Australia);1985-02-18
333;Kevin Joseph Pangos;SVN;Denison, Ontario;1993-01-26
334;Jaume Ponsarnau Goenaga;ESP;Lleida;1971-04-28
335;Zoran Vrkic;HRV;Rijeka;1987-08-16
336;Andrés Rico García;ESP;Madrid;1997-04-13
337;David Jesús Doblas Portilla;ESP;Santander;1981-08-06
338;Andrew Derek Renaldo Lawrence;GBR;Woking;1990-06-04
339;Landon Ronshae Milbourne;USA;Salisbury (Maryland);1987-06-29
340;Mikel Motos Cabodevilla;ESP;San Sebastián;1993-01-30
341;Ernest Nathanial Scott;ATG;Marietta (Georgia, EE.UU.);1982-08-28
342;Jorge Sanz Rodríguez;ESP;Madrid;1993-01-04
343;Josip Sobin;HRV;Split;1989-08-31
344;Ricardo Úriz Ancizu;ESP;Pamplona;1980-07-30
345;Alex Urtasun Uriz;ESP;Pamplona;1984-04-30
346;Ricky Sánchez;USA;Guayama (Puerto Rico);1987-07-06
347;Maksym Sandul;UKR;Vinnytsa (Ucrania);1991-02-20
348;Alejandro Barrera Pasán;ESP;Esplugues de Llobregat;1992-04-01
349;Dmitry Flis;ESP;Kaliningrad;1984-10-22
350;Chase Edward Simon;USA;Detroit;1989-03-11
351;Alejandro Hernández Máiquez;ESP;Murcia;1990-02-12
352;Ruslan Otverchenko;UKR;Ulan Bator;1990-01-06
353;Jermaine Dontay Thomas;HUN;Frederick (Maryland, EE.UU.);1984-01-12
354;Demond Dayon Mallet;USA;Leesville, Louisiana;1978-02-22
355;Brandon Stephan Paul;USA;Gurnee (Illinois, EE.UU.);1991-04-30
356;Zoran Nikolic;MNE;Niksic;1996-04-01
357;Ousmane Drame;GIN;Conakri (República Guinea);1993-12-15
358;Kerry Allen Carter;USA;West Covina (EE.UU.);1991-01-17
359;Guillermo Gustavo Hernangómez Geuer;ESP;Madrid;1994-05-27
360;Sergio Rodríguez Gómez;ESP;Santa Cruz de Tenerife;1986-06-12
361;John William Shurna;LTU;Glen Ellyn (Illinois);1990-04-30
362;Justin Anthony Hamilton;HRV;Newport Beach (EE.UU.);1990-04-01
363;Vladimir Lucic;SRB;Belgrado;1989-06-17
364;Jordi Trias Feliu;ESP;Girona;1980-11-05
365;Jon Arnor Stefansson;ISL;Reykiavik;1982-09-21
366;Augusto Cesar Lima Brito;ESP;Rio de Janeiro;1991-09-17
367;Serhiy Lishchuk;UKR;Rovno;1982-03-31
368;Alberto Martín Marín;ESP;Madrid;1995-03-28
369;Juan Rubio Ninirola;ESP;Murcia;1995-11-17
370;Thomas Kelati;POL;Walla Walla (Washington);1982-09-27
371;Stefan Markovic;SRB;Belgrado;1988-04-25
372;Germán Gabriel Benaches;ESP;Caracas;1980-11-16
373;Mindaugas Kuzminskas;LTU;Vilnius;1989-10-19
374;Donald Michael McGrath;IRL;Mount Kisco, NY (USA);1984-05-07
375;Angelo Dominik Caloiaro;ITA;San José (EE.UU.);1989-07-28
376;Martin Tyler Haws;USA;Bélgica;1991-12-19
377;Jesús Chagoyen Latienda;ESP;Jerez de la Frontera (Cádiz);1977-09-21
378;Bernardo Rodríguez Arias;ESP;Málaga;1980-06-07
379;Uros Slokar;SVN;Ljubljana;1983-05-14
380;Nenad Miljenovic;SRB;Belgrado;1993-04-07
381;Jermaine Tashawn Anderson;JAM;Toronto;1983-02-08
382;LaDontae Henton;USA;Lansing (Michigan);1992-01-06
383;Juan Alberto Hernangómez Geuer;ESP;Madrid;1995-09-28
384;Brandon Omar Thomas;USA;Bitburg (Alemania);1984-08-17
385;Francisco Javier Guerra Trujillo;ESP;Las Palmas de Gran Canaria;1992-12-23
386;Stefan Bircevic;SRB;Lazarevac (Serbia);1989-12-13
387;Zachary Darnell Graham;USA;Suwanee (Georgia, EE.UU.);1989-03-28
388;Vladimir Stimac;SRB;Belgrado;1987-08-25
389;Ioannis Bourousis;GRC;Karditsa;1983-11-17
390;Velimir Perasovic;HRV;Split;
391;Michael Perry James;USA;Portland, Oregon;1990-08-18
392;Fabien Causeur;FRA;Brest (Francia);1987-06-16
393;Mamadou Diop Gaye;ESP;Guediawaye;1993-02-14
394;Darius Anthony Adams;USA;Decatur, Illinois;1989-04-17
395;Kristjan Kangur;EST;Parnu;1982-10-23
396;Travis James Wear;USA;Long Beach (California, EE.UU.);1990-09-21
397;Valter Axel Olle Lindstrom;SWE;Estocolmo;1995-02-04
398;Samardo Anthony Samuels;JAM;Trelawny (Jamaica);1989-01-09
399;Nil Sabata Vila;ESP;Artés;1996-01-12
400;Scott Douglas Wood III;USA;Marion (Indiana);1990-06-21
401;José San Martín Vázquez;ESP;;1999-04-16
402;Kenan Karahodzic;SRB;Backa Topola;1996-01-29
403;Samuel Rodríguez Ramos;ESP;San Cristóbal de La Laguna;1997-08-02
404;Ovidijus Galdikas;LTU;Kaunas;1988-09-04
405;Alberto Torres Municio;ESP;Madrid;1998-02-07
406;David John Sainsbury García;ESP;Pamplona;1994-04-25
407;Alberto Maura Castilla;ESP;Palma de Mallorca;1998-04-07
408;Agustí Sans Valls;ESP;Maó;1995-02-27
409;Marco Antonio Justo Sierra;ESP;Las Palmas de Gran Canaria;1980-06-28
410;Xabier Oroz Uria;ESP;Azkoitia;1996-01-19
411;Filip Knezevic;MNE;Bijelo Polje (Montenegro);1994-09-09
412;Joseph Costello Reshawn Jones;USA;Normangee (Texas);1986-03-21
413;José Salvador Arco Frías;ESP;Navas;1984-10-25
414;Seydou Aboubacar Hima;NER;Niamey;1994-05-09
415;Tony Rasean Mitchell;USA;Swainsboro, Georgia;1989-08-07
416;Saúl Blanco González;ESP;Oviedo;1985-05-16
417;Porfirio Fisac De Diego;ESP;Segovia;
418;Israel González Núnez;ESP;Torrelavega;1975-02-16
419;Dennis Jerome Seeley;USA;Redding (EE.UU.);1989-11-28
420;Samba Thiago Ndiaye;SEN;Thies (Senegal);1998-04-19
