id;név;nemzetiség;születési hely;születési idő
1284;Javier Lucas Blasco;ESP;Alcoi;1986-05-22
1285;Alain Digbeu;FRA;Macon;1975-11-13
1286;Charles Macarthur Kornegay Uzzell;ESP;Dudley (North Carolina);1974-09-28
1287;Roko Leni Ukic;HRV;Split;1984-05-12
1288;Tre Simmons;USA;Seattle;1982-07-24
1289;Martín Calvo Seren;ESP;;1988-07-29
1290;Darnell Marcus Lamar Fizer;USA;Inkster, MI;1978-08-10
1291;Pedro Fernández Espinosa;ESP;Cartagena (Murcia);1978-04-19
1292;Howard Stephen Brown;USA;Poistown, Pennsylvania;1977-07-21
1293;Terrell Myers;GBR;New Haven, Connecticut;1974-08-28
1294;Gerald Brown Jr.;USA;Los Angeles (California);1975-07-28
1295;Francesc Xavier Solana Tomás;ESP;Lleida;1972-01-03
1296;Rubén Martínez Pérez;ESP;Madrid;1985-12-12
1297;Virginijus Praskevicius;LTU;Kaunas;1974-03-04
1298;Gonzalo Sánchez Pérez de la Blanca;ESP;Granada;1985-10-19
1299;Roberto Walter Gabini;ITA;San Nicolás;1975-06-10
1300;César Sanmartín Abán;ESP;Barcelona;1975-10-19
1301;Charles Gaines;USA;Houston, TX.;1980-10-15
1302;Andrew Sullivan;GBR;Londres;1980-02-12
1303;Jordi Llorens Zapata;ESP;Barcelona;1973-08-04
1304;Lelton Gerard Brown;GBR;Dallas (Texas);1978-09-09
1305;Daniel Edgardo Farabello;ITA;;1973-10-18
1306;Samuel Clancy JR;USA;Fairview (Ohio);1980-05-04
1307;Robert Gulyas;HUN;;1974-07-28
1308;Haris Mujezinovic;BIH;Visoko;1974-01-31
1309;Víctor José Luengo Ciscar;ESP;Valencia;1974-02-01
1310;Roberto Chiacig;ITA;Cividale Del Friuli;1974-12-01
1311;Kaya Peker;TUR;Ankara;1980-08-02
1312;José Amador Correas;ESP;Alicante;1983-03-23
1313;Ionut Florin Dragusin;ROU;Bucarest;1985-11-13
1314;Devin Michael Smith;USA;Delaware;1981-04-12
1315;Jon Santamaría Bengoa;ESP;San Sebastián;1982-05-08
1316;Esteban Martínez;ITA;Buenos Aires;1982-04-07
1317;Ivan Koljevic;SRB;Cetinje;1984-06-30
1318;Hollis Price;USA;New Orleans;1979-10-29
1319;Patrick Oliver Femerling;DEU;Dusseldorf;1975-03-04
1320;Demetrius Darnell Alexander;USA;St-Louis, Missouri;1975-11-03
1321;Branimir Longin;HRV;Zadar;1978-02-07
1322;Marlon Errol Garnett;USA;Los Angeles, California;1975-07-03
1323;Alberto Aspe Ortiz;ESP;Madrid;1987-05-13
1324;G-Nikolic;SRB;Niksic;1976-07-01
1325;Francisco García Alvarez;ESP;Valladolid;
1326;Hurl Luther Beechum III;DEU;Des Moines, Iowa;1973-05-02
1327;Alvaro Calvo Masa;ESP;Palencia;1983-03-27
1328;Alejandro Martín Alloatti;ITA;Santo Tomé;1984-11-29
1329;Roberto Morentin Gutiérrez;ESP;Valladolid;1981-01-16
1330;Gregor Fucka;ITA;Kranj;1971-08-07
1331;Dainius Salenga;LTU;Varena;1977-04-15
1332;José López Valera;ESP;Madrid;1981-09-30
1333;Luis Alberto Scola Balvoa;ESP;Buenos Aires;1980-04-30
1334;Sergio Pérez Soriano;ESP;Barcelona;1985-03-13
1335;Pavel Ermolinski;ISL;Sovetrikin;1987-01-25
1336;DeMarco Antonio Johnson;USA;Charlotte, North Carolina;1975-10-06
1337;Jan Orfila Sternal;ESP;Menorca;1986-01-29
1338;Manuel Blázquez López;ESP;Albacete;1989-03-22
1339;Marcelo Patricio Nicola Virginio;ESP;Rafaela;1971-05-12
1340;Rodney Charles White;USA;Philadelphia (Pennsylvania);1980-06-28
1341;Marvis Linwood Thornton III;USA;Baltimore, Maryland;1977-07-30
1342;Francisco Javier Álvarez Gutiérrez;ESP;;1975-04-07
1343;Marcus James Brown;USA;West Memphis, Arkansas;1974-04-03
1344;Ignacio Azofra De la Cuesta;ESP;Madrid;
1345;Devin Noel Wright Rodríguez;ESP;Huesca;1986-10-05
1346;Marko Maravic;SVN;Ljubljana;1979-06-26
1347;Adria Mesa Pérez;ESP;Castellar del Valles;1987-05-15
1348;Julian Alexander Sensley;DEU;New Orleans;1982-08-18
1349;Ivan Zoroski;SRB;Beogrado;1979-09-24
1350;Enrique Camilo Ruiz Granado;ESP;Las Palmas de Gran Canaria;1985-04-26
1351;Rubén Sánchez García;ESP;San Pedro del Pinatar;1989-01-17
1352;Daniel Ginés Martínez Giménez;ESP;Murcia;1991-05-13
1353;Marko Milic;SVN;Kranj (Eslovenia);1977-05-07
1354;Ender Arslan;TUR;Estambul;1983-01-13
1355;Jelani Marwan McCoy;USA;California;1977-12-06
1356;Jan Martín Sonneborn;ESP;Hannover;1984-11-20
1357;Sasa Vasiljevic;SRB;;1979-03-23
1358;Nikolaos Vetoulas;GRC;Patra;1974-02-06
1359;Audrius Giedraitis;LTU;Vilnius;1973-07-23
1360;Ignacio Lezkano Moya;ESP;Portugalete (Vizcaya);1972-10-17
1361;Damir Mulaomerovic;HRV;Tuzla (Bosnia-Herzegovina);1974-09-19
1362;Justin Charles Hamilton;USA;Sarasota (Florida);1980-12-19
1363;Ramón López Suarez;ESP;Ferrol (La Coruna);
1364;Bozidar Maljkovic;SRB;Otacec;
1365;Jorge García López;ESP;;1989-02-01
1366;Anthony Allen Stacey;USA;Elyria, Ohio;1977-03-25
1367;Scott Anthony Padgett;USA;Lousville,KY;1976-04-19
1368;Steven A-Smith;USA;Pensylvania;1983-04-12
1369;Héctor Orlando Romero Rivas;VEN;;1980-01-03
1370;Ademola Okulaja;DEU;Lagos;1975-07-10
1371;Juan Antonio Orenga Forcada;ESP;Castellón;
1372;Casey Jacobsen;USA;Glendora, California;1981-03-19
1373;Antoni Espinosa Teixidor;ESP;L?Escala (Girona);1971-03-17
1374;Anthony Eugene Peeler;USA;Kansas City, Missouri;
1375;Oscar González Cuevas Gómez Acebo;ESP;Madrid;1977-07-12
1376;Héctor García Blanco;ESP;Madrid;1978-03-20
1377;Norman Lewis Nolan;USA;Baltimore, Maryland;1976-01-20
1378;Aigars Vitols;LVA;Riga;1976-02-15
1379;David Gil Andreu;ESP;Málaga;1978-01-07
1380;Britton Weaver Johnsen;USA;Salt Lake City, Utah;1979-07-08
1381;Doremus Bennerman;SWE;Bridgeport, Connecticut;1972-07-05
1382;Omar Quintero Pereda;MEX;Nogales;1981-09-26
1383;Efthimios Rentzias;GRC;Trikala;1976-01-11
1384;David Rhode Graves;USA;Lexington, Kentucky;1979-07-03
1385;Manuel Gómez Cagiao;ESP;Betanzos (La Coruna);1978-12-23
1386;Nikola Radulovic;ITA;Zagreb;1973-04-26
1387;Javier Nasarre Mora;ESP;;1986-08-24
1388;Harper Terry Williams;USA;Bridgeport, Connecticut;1971-05-25
1389;Joseph Casey Shaw;ITA;Lebanon, Ohio;1975-07-20
1390;Adam Harrington;USA;Bernardston, Massachusetts;1980-07-05
1391;Jason Robert Klein;DEU;Dearborn, Michigan;1976-12-25
1392;Rubén Burgos López;ESP;Ribarroja (Valencia);1979-06-09
1393;Rubén Elías Quintana Ruano;ESP;Agüimes (Gran Canaria);1980-02-25
1394;Francesc Cabeza Campillo;ESP;Sabadell (Barcelona);1981-07-27
1395;Richard A-Scott;USA;Little Rock, Arkansas;1971-07-12
1396;Evangelos Sklavos;GRC;Atenas;1977-12-01
1397;Lorinza Harrington Junior;USA;Wagram, North Carolina;1980-10-02
1398;Derrick Jonathon Dial;USA;Detroit, Michigan;1975-12-20
1399;Marco Carraretto;ITA;Treviso;1977-10-27
1400;Juan Pablo Sartorelli;ITA;Buenos Aires;1983-01-18
1401;Djuro Ostojic;SRB;Bar;1976-02-27
1402;Tyrone Jeremy Grant;USA;Brooklyn, New York;1977-01-24
1403;Nebojsa Bogavac;SRB;Bijelo Polje;1973-12-14
1404;Joseph McNaull;POL;Miami, Florida;1972-06-23
1405;Haywood Christopher Owens;USA;Akron, Ohio;1979-03-01
1406;Raymond Lee Tutt;USA;San Pedro, California;1975-09-16
1407;Eduard Riu Ortiz de Urbina;ESP;Sant Quintí de Mediona (Barna);1982-05-14
1408;Philip Carl Ricci;USA;Sacramento, California;1980-05-31
1409;Andrae Malone Patterson;USA;Riverside, California;1975-11-12
1410;Xavier García Pujadas;ESP;Manresa;1972-08-16
1411;Ivan Grgat;HRV;Sinj;1974-09-22
1412;Jesús Lázaro Corral;ESP;Córdoba;1971-12-21
1413;Javier Fijo Cortés;ESP;Sevilla;
1414;Kaspars Cipruss;LVA;Rezekne;1982-02-18
1415;Aaron Jordon Bramlett;USA;Dekalb, Illinois;1977-01-10
1416;Raúl Pérez Ramos;ESP;Carmona (Sevilla);
1417;Alberto Miguel Martín;ESP;Laredo, Cantabria;1977-05-29
1418;Vladimir Krstic;HRV;Osijek;1972-07-27
1419;Robert Maras;DEU;Friburg;1978-10-20
1420;Patricio Reynés Calvache;ESP;Maó;
1421;Salvador Camps Sanjosé;ESP;Badalona (Barcelona);1979-05-19
1422;Andrej Stimac;HRV;Rijeka;1979-03-31
1423;Francesc Sabaté Boada;ESP;Barcelona;1974-03-28
1424;Alfonso Reyes Cabanas;ESP;Córdoba;1971-09-19
1425;Francisco de Borja Larragán Mac Crohon;ESP;Madrid;1976-04-19
1426;Spencer John Gloger;USA;Mission Vieja (California);1980-09-11
1427;Andre Devalle Turner;USA;Memphis, Tennessee;
1428;Stanislav Makshantsev;RUS;Sverdlovsk;1978-06-29
1429;Andrés Vaquero Mena;ESP;Cáceres;1986-01-11
1430;Jose  Miguel Lopes Peixoto Almeida;PRT;Braga;1986-03-20
1431;Jawad Hason Williams;USA;LakeWood (Ohio);1983-02-19
1432;Marc Torres Regalón;ESP;;1986-10-16
1433;Ricardo Eduardo Fox Tejero;ESP;;1981-08-21
1434;Mario Plata Sereno;ESP;Cáceres;1987-09-28
1435;Blake Roy Stepp;USA;;1982-02-04
1436;Jerome Beasley;USA;;1980-05-17
1437;Gaizka Gorospe Las Heras;ESP;;1986-09-04
1438;Enelko Ortiz García;ESP;;1987-06-03
1439;Josep Mestres Biescas;ESP;L?Hospitalet Llobregat (Barcelona);1985-09-26
1440;John Antonio Taylor;USA;Chatanooga (Tennessee);1974-06-04
1441;Marton Bader;HUN;Budapest;1980-09-23
1442;Ioannis Giannoulis;GRC;Toronto;1976-06-05
1443;Juan Pedro García Pardo;ESP;;1988-05-04
1444;Paccelis Octave Morlende;FRA;Creil;1981-04-19
1445;Nestoras Kommatos;GRC;Larissa;1977-05-04
1446;Ricardo Piedrafita Vila;ESP;;1984-11-22
1447;Sandro Nicevic;HRV;Pula;1976-06-16
1448;Todor Stoykov;BGR;;1977-01-01
1449;Eduardo Enrique Cota;USA;Los Angeles, California;1976-05-19
1450;Maurice Antwan Carter;USA;Jackson (Missouri);1976-10-12
1451;Sasa Stefanovic;SRB;Belgrado;1975-09-17
1452;Alex J-Scales;USA;Racine, Winsconsin;1978-07-03
1453;Sergio Bruno Antunes Selores Ramos;PRT;Lisboa;1975-12-11
1454;David Lee Jackson Junior;USA;Klamath Falls, Oregon;1978-09-21
1455;Christopher Anstey;AUS;Melbourne T.;1975-01-01
1456;Raúl Lázaro Burgueno;ESP;Madrid;1987-01-24
1457;Miroslav Beric;SRB;Belgrado;1973-01-20
1458;Casey Wayne Calvary;USA;Wurzburg;1977-04-27
1459;Randy Alfred Holcomb;USA;Chicago;1979-08-08
1460;Anthony Goldwire;USA;West Palm Beach, Florida;1971-09-06
1461;Antonio José Sosa Benítez;ESP;Sevilla;1985-03-23
1462;Elton Eugene Brown Junior;USA;Newport News, Virginia;1983-09-09
1463;José María García Flores;ESP;;1987-04-27
1464;Asier García Regueiro;ESP;Salamanca;1978-12-14
1465;Ilian Evtimov;FRA;Sofia;1983-03-28
1466;Danya Earl Abrams;USA;Westchester, New York;1974-09-24
1467;Daniel Romero Oliva;ESP;Málaga;1973-01-03
1468;Alessandro Abbio;ITA;Racconigi;1971-03-13
1469;Francisco Javier Rueda Naranjo;ESP;Málaga;1976-03-09
1470;Roberto De la Rosa Hernández;ESP;Sta-Cruz de Tenerife;1985-10-25
1471;Joan Montes Pérez;ESP;Barcelona;
1472;Christian Drejer;DNK;Frederiksberg;1982-12-08
1473;Ramón Espuna Bartrina;ESP;Olot (Girona);1984-05-07
1474;Ricardo González Tezanos;ESP;Torrelavega (Cantabria);1975-04-07
1475;Vladimir Stergiou;GRC;Belgrado (Yugoslavia);1977-01-27
1476;Charlie Bell;USA;Flint (Michigan, EE.UU.);1979-03-12
1477;Sebastián Castineira;ESP;;1978-07-22
1478;Esteban López Tamborini;ITA;General Pico;1984-06-11
1479;Andrea Camata;ITA;San Dona di Piave;1973-11-26
1480;Brian Eugene Howard;USA;;
1481;Roberto Núnez Sánchez;ESP;Madrid;1978-05-31
1482;José Luis Maluenda Benedí;ESP;Calatayud (Zaragoza);1977-04-04
1483;Arvydas Macijauskas;LTU;Klaipeda;1980-01-19
1484;Asier Arzallus Gil;ESP;Pamplona;1983-04-20
1485;José Manuel Calderón Borrallo;ESP;Villanueva Serena (Badajoz);1981-09-28
1486;Albert Ros Anguila;ESP;;1981-07-15
1487;Sergi Grimau Gragera;ESP;Barcelona;1975-01-15
1488;Paul Andrew Rogers;GBR;Adelaide;1973-09-29
1489;Cyril Julian;FRA;;1974-03-29
1490;Sharone Addaryl Wright;USA;Macon, Georgia;1973-06-30
1491;Roger Esteller Juyol;ESP;Barcelona;1972-07-06
1492;Carlos Prada Hernández;ESP;;1984-10-10
1493;Francisco Alberto Angulo Espinosa;ESP;Zaragoza;1970-06-19
1494;Aleksander Petrovic;HRV;Sibenik (Croacia);
1495;Gabriel Diego Fernández;ITA;Lomas de Zamora;1976-10-23
1496;Derrick Samuel Alston;USA;Bronx, New York;1972-08-20
1497;Jaume Comas Font;ESP;Premiá de Mar (Barcelona);1974-08-02
1498;Bernardino Tamames Alonso;ESP;Lleida;1973-08-15
1499;Pau López Hernández;ESP;;1984-04-21
1500;Jamie Arnold;USA;Detroit, Michigan;1975-03-10
1501;Brent Steven Scott;USA;Lansing, Michigan;1971-06-15
1502;Martin Peter Cattalini;ITA;Fremantle;1973-10-04
1503;Patrick John Burke;IRL;Dublin;1973-12-14
1504;Antonios Fotsis;GRC;Maroussi;1981-04-01
1505;Alberto Herreros Ros;ESP;Madrid;
1506;Nikola Loncar Arsenijevic;ESP;Kragujevac (Yugoslavia);1972-05-31
1507;Miquel Feliu Badal;ESP;Manresa;1985-05-17
1508;César Bravo Gil;ESP;Barcelona;1981-05-14
1509;José Ramón Esmorís Esmorís;ESP;Laracha (La Coruna);1975-05-23
1510;Vladimir Bogojevic;DEU;Kraljevo (Yugoslavia);1976-04-20
1511;Leandro Fabián Palladino;ITA;Concepción;1976-01-13
1512;José Iván Rodríguez Cabrera;ESP;Santa Cruz de Tenerife;1975-06-30
1513;Bruno Lábaque;ITA;;1977-11-11
1514;Walter Roderick Sellers;USA;Florence, South Carolina;1970-08-07
1515;Santiago Toledo Jiménez;ESP;Las Palmas de Gran Canaria;1972-10-18
1516;Lewis Elliot Sims;ESP;Cleveland, Ohio;1973-04-09
1517;Matthew Santangelo;ITA;Portland, Oregon;1977-09-08
1518;Pablo Jesús Alemany Espejo;ESP;Cádiz;1984-05-12
1519;Ernest Lenell Bremer;USA;;1980-09-19
1520;Alvin Robert Lamar Jones III;LUX;Luxemburgo (Luxemburgo);1978-09-09
1521;Alejandro Ariel Montecchia;ITA;Bahía Blanca;1972-01-01
1522;Daniel Callejo Barrena;ESP;Badajoz;1983-04-18
1523;Gonzalo Echeverría Martel;ESP;Las Palmas de Gran Canaria;1986-01-23
1524;Adrián Núnez Fernández;ESP;Lugo;1984-08-31
1525;Francisco Cano Cuenca;ESP;Alicante;1984-05-10
1526;Luis Felipe Gruber;ITA;Santa Rosa;1985-04-16
1527;Antonio Hernández Cazorla;ESP;Las Palmas de Gran Canaria;1983-03-12
1528;Remon Van de Hare;NLD;Amsterdam;1982-05-23
1529;Gintaras Einikis;LTU;Kretingos;
1530;Fulgencio Casanova De Alba;ESP;Sevilla;1986-02-08
1531;Fabricio Raúl Jesús Oberto;ITA;Las Varillas;1975-03-21
1532;Daniel Borja Munoz Marina;ESP;;1987-04-16
1533;Damián García Reinisch;ESP;Murcia;1986-03-20
1534;Adolfo Santos Zea;ESP;;1984-07-17
1535;Damon S-Johnson;ISL;Johnson City, Tennessee;1974-03-01
1536;Dejan Tomasevic;SRB;Belgrado (Yugoslavia);1973-05-06
1537;Richard Francis Barry;DEU;Danville, California;
1538;Eric Struelens;BEL;Bruselas;
1539;Rashard Nathan Griffith;USA;Chicago, Illinois;1974-10-08
1540;Joan Jordi Vall-Llobera Auladell;ESP;;1983-01-12
1541;Troy Delvon Bell;USA;Minneapolis (MinNesota);1980-11-10
1542;Nicolás Nahuel Calvo;ESP;;1986-02-07
1543;Javier Rodríguez Fernández;ESP;Gijón (Asturias);1984-04-13
1544;José Ignacio Biota Pérez;ESP;Jaca (Huesca);1975-12-19
1545;Casey William Schmidt;DEU;Cook, Illinois;1970-09-30
1546;Bryce Homer Drew;ITA;;1974-09-21
1547;Jorge Mateu Noceda;ESP;Madrid;1973-08-18
1548;Gabriel Alonso González;ESP;;1983-05-16
1549;Eduard Villacampa Rúbies;ESP;;1985-06-29
1550;William Keys;USA;Illinois;1977-10-26
1551;Francisco Javier Perujo Campano;ESP;Málaga;1980-07-17
1552;Sean Lester Rooks;USA;New York;
1553;Lubara Dixon Simpkins;USA;Fort Washington (Maryland);1972-04-06
1554;Javier Mesa Iánez;ESP;Alhendín (Granada);1977-06-30
1555;Zan Tabak;HRV;Split;1970-06-15
1556;Daniel López Dittert;ESP;;1986-09-18
1557;Daniel Brian Miller;ITA;MountHolly (New Jersey);1980-03-18
1558;Rodney Elliott;USA;Dunban (Baltimor, Maryland);1976-03-04
1559;Bradley Robert Traina;ITA;Marietta, Georgia;1977-08-04
1560;Sanya Komlan Giffa;FRA;Moscú;1977-06-19
1561;Marc Rubio Vives;ESP;El Masnou (Barcelona);1988-02-22
1562;Sergi Clavaguera Caner;ESP;Olot (Girona);1985-08-19
1563;Milan Malatras;GRC;Novi Sad;1976-06-17
1564;Ramón Bordas Manjón;ESP;;1977-12-13
1565;Manuel Flores Sánchez;ESP;Mérida (Badajoz);
1566;Marcel Sol Vall;ESP;Lleida;1987-01-02
1567;Rasheed Brokenborough;USA;;1976-06-24
1568;Tyrone Davis McDaniel;USA;;1971-08-09
1569;Antoine Roger Rigaudeau;FRA;Cholet;1971-12-17
1570;Scott David Burrell;USA;New Haven (Connecticut);1971-01-12
1571;Antonio Miguel Ruiz;ESP;;1986-03-23
1572;Kristoffer Douglas Lang;USA;Gastonia (North Carolina);1979-12-12
1573;Carlton Ettore Francesco Myers;ITA;Londres;1971-03-30
1574;Joseph Garcia Roundy;CYP;Las Vegas (Nevada);1975-09-09
1575;Robert Marvin Martin;USA;Atlantic City, New Jersey;
1576;Ricardo Elisandro Busciglio;ITA;Resistencia;1986-04-11
1577;Marcel García Calafí;ESP;Badalona;1987-08-13
1578;Rolando Teophilos Howell;USA;Columbia (South Carolina);1982-04-28
1579;DeSean William Hadley;USA;Dayton (Ohio);1977-09-14
1580;Daniel Hernández González;ESP;;1986-01-17
1581;Andrew Lawrence Nicholas;USA;Heupstead (New York);1981-05-17
1582;Marcos Casado Casuso;ESP;;1983-01-29
1583;James Joseph Larranaga;IRL;Charlotte, North Carolina;1975-01-30
1584;Fernando Vidal Fernández;ESP;Vigo (Pontevedra);1985-01-22
1585;Danny Cornell Lewis;GBR;Kalamazoo, Michigan;1970-06-21
1586;Anderson França Varejao;BRA;Colatina;1982-09-28
1587;Drazan Tomic;DEU;Berlin;1974-04-27
1588;Juan Llaneza Rodríguez;ESP;Mieres (Asturias);
1589;John Gregory Thomas;USA;Minneapolis, Minnesota;1975-09-08
1590;Marco Sambugaro;ITA;Werneck;1971-01-14
1591;Sydney Amilcar Johnson;FRA;Lansing, Michigan;1974-04-26
1592;Julio César Lamas;ARG;Buenos Aires (Argentina);
1593;Kaspars Kambala;LVA;Riga (Letonia);1978-12-13
1594;Souleymane Drame Kamara;ESP;Ibadan (Nigeria);1980-04-19
1595;Bernardo Alvarez Merino;ESP;Reus (Tarragona);1971-08-03
1596;John Bernard Rogers Bakker;ESP;Fullerton, California;
1597;José Ignacio Rodilla Gil;ESP;Llíria (Valencia);1974-03-12
1598;Francisco Alonso Salas;ESP;Zamora;
1599;Victor Joe Alexander;USA;Detroit, Michigan;
1600;Steven Christopher Horton Frazier;ESP;Chicago, Illinois;1972-12-25
1601;Matthew J-Nover;PRT;Chesterton, Indiana;1970-09-23
1602;Antonio De Andres Reynolds-Dean;USA;Marietta, Georgia;1977-03-11
1603;Enrique Bárcenas De la Banda;ESP;Aranjuez (Madrid);1973-06-05
1604;José Luis Galilea Vidaurreta;ESP;San Sebastián;1972-07-09
1605;Patrick Bryan Bracey;IRL;Chicago, Illinois;1978-08-05
1606;Nenad Markovic Zoric;ESP;Doboj (Yugoslavia);
1607;José Felipe Coello Farina;ESP;Sta-Cruz de Tenerife;
1608;Robert A-Jackson;USA;Milwaukee, Wisconsin;1978-12-15
1609;Oscar Ruiz Ruiz;ESP;Alcalá del Río (Sevilla);1985-10-03
1610;Jordi Singla Artigas;ESP;Manresa (Barcelona);1970-06-25
1611;John Oliver Brown;USA;Miami, Florida;1974-07-29
1612;Maiol Cisteró Saludes;ESP;Barcelona;1974-10-29
1613;Javier Alvarado Rodríguez;ESP;Las Palmas de Gran Canaria;1985-04-13
1614;Marcus Kenta Goree;USA;Dallas, Texas;1977-10-11
1615;Dusan Jelic;GRC;Belgrado (Yugoslavia);1975-08-13
1616;Javier Buesa Azurmendi;ESP;Vitoria;1978-06-03
1617;Imanol Ruiz de Vergara Ruiz de Azúa;ESP;Vitoria-Gasteiz;1985-03-26
1618;Roger Fornas Lladó;ESP;Barcelona;1982-10-24
1619;Daniel Rodríguez García;ESP;Esplugues Ll-(Barcelona);1984-02-13
1620;Mikhail Mikhailov;ESP;Chelvabinsk (Rusia);1971-05-17
1621;José Javier Terrén Morales;ESP;Sabadell (Barcelona);1984-01-25
1622;Juan Arsenio Torres Rueda;ESP;Mérida (Badajoz);1983-11-10
1623;Ime Inyang Oduok;NGA;Eket;1971-12-06
1624;Iker Baskones Legarda;ESP;Vitoria-Gasteiz;1983-07-26
1625;Raúl Hernández Moreno;ESP;;1986-05-07
1626;Ramón Moya Pérez;ESP;Murcia;1974-11-20
1627;Saulo Hernández Bris;ESP;Zamora;1978-12-18
1628;Dejan Koturovic;ITA;Belgrado (Serbia-Mont);1972-03-31
1629;Rafael Velázquez Sánchez;ESP;;1983-02-01
1630;Christopher Marcus Mc Guthrie;NLD;Washington, DC;1974-06-09
1631;Kebu Omar Stewart;USA;Brooklyn, New York;1973-12-19
1632;Alfredo García Martínez;ESP;Torrelavega (Cantabria);
1633;Juan Manuel Moltedo;ITA;Montevideo;1974-06-24
1634;Juan José López Gómez;ESP;Madrid;1982-09-13
1635;Enrique Suárez Reizábal;ESP;Madrid;1983-01-24
1636;Asier Alonso Sanz;ESP;Vitoria-Gasteiz;1984-03-12
1637;Iván Humanes Molpeceres;ESP;Madrid;1976-11-05
1638;Aleix Prat Monfort;ESP;Olesa de Montserrat (Barna);1984-04-14
1639;Javier Pardos Cruz;ESP;Zaragoza;1984-03-22
1640;Miguel Angel Martín Fernández;ESP;Madrid;
1641;Martin Mcbride Conlon;IRL;Bronx, New York;
1642;Robert John Pack Jr.;USA;New Orleans, Louisiana;
1643;Iván Eduardo Déniz O'Donnell;ESP;Santa Cruz de Tenerife;1973-05-21
1644;Mario Lapiedra Vivanco;ESP;Madrid;1984-02-06
1645;Fabricio David Vay;ITA;Jesús María;1986-03-26
1646;Kaniel Michele Dickens;USA;Denver, Colorado;1978-07-21
1647;David González Hernández;ESP;Sta-Cruz de Tenerife;1982-01-21
1648;Ashraf Omar Amaya;USA;Oak Park, Illinois;1971-11-23
1649;Brandon Albert Kurtz;USA;Fresno, California;1978-06-27
1650;Fabrizio Ambrassa;ITA;Savigliano;
1651;Jordi Millera Mas;ESP;Barcelona;1971-03-10
1652;Velimir Perasovic;HRV;Split;
1653;John Sam Williams;USA;Los Angeles, California;
1654;Adam Thomas Keefe;USA;Irvine, California;1970-02-22
1655;Alfonso Albert García;ESP;Torrent (Valencia);1973-05-22
1656;Adam Wojcik;POL;Olawa;1970-04-20
1657;Maceo Demond Baston;USA;Corsicana, Texas;1976-05-29
1658;Hanno Aleksanteri Mottola;FIN;Helsinki;1976-09-09
1659;Laurent Marcel Guy Foirest;FRA;Marseille;1973-09-18
1660;Jim Ruddy Anicet Bilba;FRA;Pointe-a-Pitre;
1661;Jerome Byron Allen;USA;Philadelphia, Pennsylvania;1973-01-28
1662;Francisco Marinho Robbij Elson;NLD;Rotterdam;1976-02-28
1663;Manuel Valdivieso Navarro;ESP;Sevilla;1984-05-20
1664;Andrés Guibert Sargenton;CUB;La Habana;
1665;Ernesto Serrano Avilés;ESP;Granada;1974-03-12
1666;Antonio Gómez Nieto;ESP;Córdoba;
1667;Juan Carlos Linán Castellanos;ESP;Granada;1973-10-31
1668;M.C-Mazique;USA;Brooklyn, New York;1975-03-02
1669;Michael Wright;USA;Chicago, Illinois;1980-01-07
1670;Giorgios Sigalas;GRC;Atenas;1971-07-31
1671;Dragan Tarlac;GRC;Sobor (Yugoslavia);1973-05-09
1672;Steve Michael Hawkins;USA;Canton, Ohio;1972-10-28
1673;Raúl Mena Mateos;ESP;Madrid;1982-06-09
1674;Joffre Lleal Ronda;ESP;Badalona (Barcelona);1971-08-03
1675;Juan Antonio Orenga Forcada;ESP;Castellón;
1676;Miguel Eduardo Hansen Mejias;ESP;Torrejón de Ardoz (Madrid);1970-04-17
1677;Deon La velle Thomas;ISR;Chicago, Illinois;1971-02-24
1678;Manel Bosch Bifet;ESP;Lleida;
1679;William Allen Edwards;USA;Middletown, Ohio;1971-09-22
1680;Pedro Capdevila Bernaus;ESP;Barcelona;1973-01-25
1681;Xavier Vallmajó Tercero;ESP;Barcelona;1975-02-19
1682;Javier Fernández Fernández;ESP;L?Hospitalet (Barcelona);
1683;Enrique Moraga Munoz;ESP;Sabadell (Barcelona);1974-04-08
1684;David Wayne Brabender Pascual;ESP;Madrid;1970-10-22
1685;Francisco José Murcia Sánchez;ESP;Murcia;1970-11-14
1686;Juan Penarroya Rodríguez;ESP;Terrassa (Barcelona);
1687;José Miguel Antúnez Melero;ESP;Madrid;
1688;Francisco José Martín Gutiérrez;ESP;Ciempozuelos (Madrid);
1689;Juan Ignacio Elizagaray García;ESP;Madrid;1982-07-28
1690;David Leroy Wood;USA;Spokane, Washington;
1691;Alvaro Palacios Rufo;ESP;Salamanca;1982-12-17
1692;David Mesa Iánez;ESP;Alhendín (Granada);1980-11-28
1693;Samuel Nadeau;FRA;Colombes;1982-07-07
1694;Mehdi Jamel Labeyrie;FRA;Burdeos;1978-02-23
1695;Angel Francisco Santana Castillo;ESP;Las Palmas de Gran Canaria;1977-05-23
1696;Yohan Sangare;FRA;Poissy;1983-04-05
1697;Eduardo Hernández García;ESP;Vitoria;1981-07-31
1698;Todd Douglas Fuller;USA;Fayetteville, North Carolina;1974-07-25
1699;Jabari Montsho Smith;USA;Atlanta, Georgia;1977-02-12
1700;Veljko Mrsic;HRV;Split;1971-04-13
1701;Bryan Ruston Sallier;USA;Port Arthur, Texas;
1702;Thierry Zig;FRA;Bondy;1975-07-04
1703;Jesús Castro Romaní;ESP;Ferrol (A Coruna);1983-05-29
1704;Edward Santana Pimentel;ESP;Hato Mayor (R-Dominicana);1980-04-20
1705;Pablo Laso Biurrún;ESP;Vitoria;
